P[MeV fm**-3]     mu_e [MeV]     mu_n [MeV]
  1.00000E-13    9.25032E-03    0.00000E+00
  2.00000E-13    1.30341E-02    0.00000E+00
  4.00000E-13    1.83390E-02    0.00000E+00
  8.00000E-13    2.57518E-02    0.00000E+00
  1.60000E-12    3.60636E-02    0.00000E+00
  3.20000E-12    5.03234E-02    0.00000E+00
  6.40000E-12    6.98926E-02    0.00000E+00
  1.28000E-11    9.64924E-02    0.00000E+00
  2.56000E-11    1.32235E-01    0.00000E+00
  5.12000E-11    1.79632E-01    0.00000E+00
  1.02400E-10    2.41583E-01    0.00000E+00
  2.04800E-10    3.21361E-01    0.00000E+00
  4.09600E-10    4.22618E-01    0.00000E+00
  8.19200E-10    5.49438E-01    0.00000E+00
  1.63840E-09    7.06441E-01    0.00000E+00
  3.27680E-09    8.98942E-01    0.00000E+00
  6.55360E-09    1.13314E+00    0.00000E+00
  1.31072E-08    1.41637E+00    0.00000E+00
  2.62144E-08    1.75732E+00    0.00000E+00
  5.24288E-08    2.16638E+00    0.00000E+00
  1.04858E-07    2.65593E+00    0.00000E+00
  2.09715E-07    3.24075E+00    0.00000E+00
  4.19430E-07    3.93847E+00    0.00000E+00
  8.38861E-07    4.77011E+00    0.00000E+00
  1.67772E-06    5.76072E+00    0.00000E+00
  3.35544E-06    6.94012E+00    0.00000E+00
  6.71089E-06    8.34381E+00    0.00000E+00
  1.34218E-05    1.00141E+01    0.00000E+00
  2.68435E-05    1.20012E+01    0.00000E+00
  5.36871E-05    1.43649E+01    0.00000E+00
  1.07374E-04    1.71765E+01    0.00000E+00
  2.14748E-04    2.05205E+01    0.00000E+00
  4.29497E-04    2.44977E+01    0.00000E+00
  8.58993E-04    2.92277E+01    0.00000E+00
  1.71799E-03    3.48529E+01    0.00000E+00
  3.43597E-03    4.15427E+01    0.00000E+00
  6.87195E-03    4.94985E+01    0.00000E+00
  1.37439E-02    5.89598E+01    0.00000E+00
  2.74878E-02    7.02113E+01    0.00000E+00
  5.49756E-02    8.35918E+01    0.00000E+00
  1.09951E-01    9.95041E+01    0.00000E+00
  2.19902E-01    1.18427E+02    0.00000E+00
  4.39805E-01    1.40931E+02    0.00000E+00
  8.79609E-01    1.67692E+02    0.00000E+00
  1.75922E+00    1.99517E+02    0.00000E+00
  3.51844E+00    2.37364E+02    0.00000E+00
  7.03687E+00    2.82371E+02    0.00000E+00
  1.40737E+01    3.35894E+02    0.00000E+00
  2.81475E+01    3.99545E+02    0.00000E+00
  5.62950E+01    4.75238E+02    0.00000E+00
  1.12590E+02    5.65253E+02    0.00000E+00
  2.25180E+02    6.72299E+02    0.00000E+00
  4.50360E+02    7.99600E+02    0.00000E+00
  9.00720E+02    9.50986E+02    0.00000E+00
  1.80144E+03    1.13102E+03    0.00000E+00
  3.60288E+03    1.34511E+03    0.00000E+00
  7.20576E+03    1.59971E+03    0.00000E+00
  1.44115E+04    1.90248E+03    0.00000E+00
