    Pressure         n_b          Ye          Yn        Zbar        Abar        mu_e        mu_n
 3.61555E-04   2.20365E-04   3.00776E-01   1.41237E-02   3.60000E+01   1.18000E+02   2.41995E+01   9.28859E-02
 3.65170E-04   2.23521E-04   2.98703E-01   2.09182E-02   3.60000E+01   1.18000E+02   2.42597E+01   1.11259E-01
 3.68822E-04   2.27016E-04   2.96262E-01   2.89195E-02   3.60000E+01   1.18000E+02   2.43201E+01   1.29678E-01
 3.72510E-04   2.30847E-04   2.93482E-01   3.80328E-02   3.60000E+01   1.18000E+02   2.43806E+01   1.48142E-01
 3.76235E-04   2.35036E-04   2.90376E-01   4.82136E-02   3.60000E+01   1.18000E+02   2.44416E+01   1.66749E-01
 3.79998E-04   2.39539E-04   2.87006E-01   5.92547E-02   3.59999E+01   1.18000E+02   2.45024E+01   1.85306E-01
 3.83798E-04   2.45426E-04   2.82175E-01   7.07904E-02   3.57607E+01   1.17761E+02   2.45634E+01   2.03896E-01
 3.87636E-04   2.58751E-04   2.69607E-01   8.02760E-02   3.40059E+01   1.16006E+02   2.46245E+01   2.22019E-01
 3.91512E-04   2.64182E-04   2.66002E-01   9.24649E-02   3.40000E+01   1.16000E+02   2.46858E+01   2.39981E-01
 3.95427E-04   2.69891E-04   2.62285E-01   1.05144E-01   3.40000E+01   1.16000E+02   2.47472E+01   2.57987E-01
 3.99381E-04   2.75905E-04   2.58449E-01   1.18231E-01   3.40000E+01   1.16000E+02   2.48088E+01   2.76038E-01
 4.03375E-04   2.82226E-04   2.54514E-01   1.31657E-01   3.40000E+01   1.16000E+02   2.48706E+01   2.94135E-01
 4.07409E-04   2.88854E-04   2.50499E-01   1.45356E-01   3.40000E+01   1.16000E+02   2.49324E+01   3.12276E-01
 4.15598E-04   3.03029E-04   2.42298E-01   1.73336E-01   3.40000E+01   1.16000E+02   2.50567E+01   3.48694E-01
 4.19754E-04   3.10575E-04   2.38145E-01   1.87506E-01   3.40000E+01   1.16000E+02   2.51190E+01   3.66968E-01
 4.23951E-04   3.18404E-04   2.33988E-01   2.01688E-01   3.40000E+01   1.16000E+02   2.51813E+01   3.85228E-01
 4.28191E-04   3.26568E-04   2.29813E-01   2.15933E-01   3.40000E+01   1.16000E+02   2.52440E+01   4.03596E-01
 4.32473E-04   3.35041E-04   2.25644E-01   2.30155E-01   3.40000E+01   1.16000E+02   2.53068E+01   4.22010E-01
 4.36797E-04   3.43825E-04   2.21493E-01   2.44317E-01   3.40000E+01   1.16000E+02   2.53698E+01   4.40470E-01
 4.41165E-04   3.52921E-04   2.17368E-01   2.58390E-01   3.40000E+01   1.16000E+02   2.54329E+01   4.58975E-01
 4.45577E-04   3.62328E-04   2.13278E-01   2.72344E-01   3.40000E+01   1.16000E+02   2.54962E+01   4.77525E-01
 4.50033E-04   3.72051E-04   2.09230E-01   2.86158E-01   3.40000E+01   1.16000E+02   2.55597E+01   4.96122E-01
 4.54533E-04   3.82084E-04   2.05230E-01   2.99804E-01   3.40000E+01   1.16000E+02   2.56232E+01   5.14758E-01
 4.59079E-04   3.92440E-04   2.01281E-01   3.13275E-01   3.40000E+01   1.16000E+02   2.56870E+01   5.33449E-01
 4.63669E-04   4.03113E-04   1.97390E-01   3.26551E-01   3.40000E+01   1.16000E+02   2.57509E+01   5.52186E-01
 4.68306E-04   4.14107E-04   1.93561E-01   3.39617E-01   3.40000E+01   1.16000E+02   2.58150E+01   5.70970E-01
 4.72989E-04   4.25423E-04   1.89795E-01   3.52463E-01   3.40000E+01   1.16000E+02   2.58793E+01   5.89801E-01
 4.77719E-04   4.37062E-04   1.86097E-01   3.65080E-01   3.40000E+01   1.16000E+02   2.59437E+01   6.08678E-01
 4.82496E-04   4.49026E-04   1.82469E-01   3.77460E-01   3.40000E+01   1.16000E+02   2.60082E+01   6.27603E-01
 4.87321E-04   4.61318E-04   1.78911E-01   3.89598E-01   3.40000E+01   1.16000E+02   2.60730E+01   6.46575E-01
 4.92194E-04   4.73939E-04   1.75425E-01   4.01491E-01   3.40000E+01   1.16000E+02   2.61378E+01   6.65594E-01
 4.97116E-04   4.86892E-04   1.72012E-01   4.13134E-01   3.40000E+01   1.16000E+02   2.62029E+01   6.84660E-01
 5.02087E-04   5.00178E-04   1.68673E-01   4.24527E-01   3.40000E+01   1.16000E+02   2.62681E+01   7.03774E-01
 5.07108E-04   5.13799E-04   1.65407E-01   4.35669E-01   3.40000E+01   1.16000E+02   2.63335E+01   7.22936E-01
 5.12179E-04   5.27198E-04   1.62340E-01   4.46133E-01   3.40000E+01   1.16000E+02   2.63964E+01   7.41383E-01
 5.17301E-04   5.41483E-04   1.59218E-01   4.56785E-01   3.40000E+01   1.16000E+02   2.64621E+01   7.60638E-01
 5.22474E-04   5.56111E-04   1.56169E-01   4.67188E-01   3.40000E+01   1.16000E+02   2.65279E+01   7.79941E-01
 5.27699E-04   5.71063E-04   1.53196E-01   4.77332E-01   3.40000E+01   1.16000E+02   2.65939E+01   7.99267E-01
 5.32976E-04   5.86381E-04   1.50290E-01   4.87247E-01   3.40000E+01   1.16000E+02   2.66601E+01   8.18667E-01
 5.38306E-04   6.02049E-04   1.47454E-01   4.96922E-01   3.40000E+01   1.16000E+02   2.67264E+01   8.38114E-01
 5.43689E-04   6.18068E-04   1.44687E-01   5.06361E-01   3.40000E+01   1.16000E+02   2.67929E+01   8.57610E-01
 5.49126E-04   6.34441E-04   1.41989E-01   5.15567E-01   3.40000E+01   1.16000E+02   2.68596E+01   8.77155E-01
 5.54617E-04   6.51172E-04   1.39357E-01   5.24546E-01   3.40000E+01   1.16000E+02   2.69265E+01   8.96748E-01
 5.60163E-04   6.68262E-04   1.36791E-01   5.33301E-01   3.40000E+01   1.16000E+02   2.69935E+01   9.16390E-01
 5.65765E-04   6.85714E-04   1.34289E-01   5.41838E-01   3.40000E+01   1.16000E+02   2.70606E+01   9.36081E-01
 5.71422E-04   7.03532E-04   1.31850E-01   5.50159E-01   3.40000E+01   1.16000E+02   2.71280E+01   9.55821E-01
 5.77137E-04   7.21686E-04   1.29476E-01   5.58258E-01   3.40000E+01   1.16000E+02   2.71954E+01   9.75576E-01
 5.82908E-04   7.40241E-04   1.27158E-01   5.66166E-01   3.40000E+01   1.16000E+02   2.72631E+01   9.95414E-01
 5.88737E-04   7.59169E-04   1.24899E-01   5.73874E-01   3.40000E+01   1.16000E+02   2.73309E+01   1.01530E+00
 5.94624E-04   7.78464E-04   1.22698E-01   5.81383E-01   3.40000E+01   1.16000E+02   2.73989E+01   1.03523E+00
 6.00571E-04   7.98165E-04   1.20550E-01   5.88712E-01   3.40000E+01   1.16000E+02   2.74671E+01   1.05523E+00
 6.06576E-04   8.18190E-04   1.18462E-01   5.95836E-01   3.40000E+01   1.16000E+02   2.75354E+01   1.07523E+00
 6.12642E-04   8.38641E-04   1.16423E-01   6.02794E-01   3.40000E+01   1.16000E+02   2.76039E+01   1.09531E+00
 6.18768E-04   8.59481E-04   1.14435E-01   6.09576E-01   3.40000E+01   1.16000E+02   2.76726E+01   1.11545E+00
 6.24956E-04   8.80712E-04   1.12497E-01   6.16187E-01   3.40000E+01   1.16000E+02   2.77415E+01   1.13564E+00
 6.31206E-04   9.02341E-04   1.10608E-01   6.22629E-01   3.39996E+01   1.16000E+02   2.78105E+01   1.15587E+00
 6.37518E-04   9.24356E-04   1.08759E-01   6.28692E-01   3.39678E+01   1.15968E+02   2.78790E+01   1.17595E+00
 6.43893E-04   9.51869E-04   1.06392E-01   6.31276E-01   3.32560E+01   1.15256E+02   2.79484E+01   1.19616E+00
 6.50332E-04   9.76247E-04   1.04498E-01   6.35871E-01   3.30038E+01   1.15004E+02   2.80179E+01   1.21615E+00
 6.56835E-04   9.99117E-04   1.02857E-01   6.41561E-01   3.30000E+01   1.15000E+02   2.80877E+01   1.23616E+00
 6.63404E-04   1.02235E-03   1.01258E-01   6.47132E-01   3.30000E+01   1.15000E+02   2.81576E+01   1.25622E+00
 6.70038E-04   1.04599E-03   9.96974E-02   6.52570E-01   3.30000E+01   1.15000E+02   2.82276E+01   1.27633E+00
 6.76738E-04   1.07003E-03   9.81743E-02   6.57877E-01   3.30000E+01   1.15000E+02   2.82979E+01   1.29649E+00
 6.83505E-04   1.09448E-03   9.66874E-02   6.63059E-01   3.30000E+01   1.15000E+02   2.83683E+01   1.31670E+00
 6.90340E-04   1.11933E-03   9.52357E-02   6.68118E-01   3.30000E+01   1.15000E+02   2.84389E+01   1.33696E+00
 6.97244E-04   1.14460E-03   9.38183E-02   6.73057E-01   3.30000E+01   1.15000E+02   2.85097E+01   1.35727E+00
 7.04216E-04   1.17028E-03   9.24342E-02   6.77881E-01   3.30000E+01   1.15000E+02   2.85806E+01   1.37763E+00
 7.11258E-04   1.19639E-03   9.10824E-02   6.82592E-01   3.30000E+01   1.15000E+02   2.86518E+01   1.39804E+00
 7.18371E-04   1.22291E-03   8.97621E-02   6.87193E-01   3.30000E+01   1.15000E+02   2.87231E+01   1.41850E+00
 7.25555E-04   1.24987E-03   8.84723E-02   6.91687E-01   3.30000E+01   1.15000E+02   2.87946E+01   1.43902E+00
 7.32810E-04   1.27725E-03   8.72123E-02   6.96078E-01   3.30000E+01   1.15000E+02   2.88662E+01   1.45958E+00
 7.40138E-04   1.30507E-03   8.59812E-02   7.00369E-01   3.30000E+01   1.15000E+02   2.89381E+01   1.48020E+00
 7.47540E-04   1.33333E-03   8.47782E-02   7.04561E-01   3.30000E+01   1.15000E+02   2.90101E+01   1.50087E+00
 7.55015E-04   1.36203E-03   8.36025E-02   7.08658E-01   3.30000E+01   1.15000E+02   2.90823E+01   1.52159E+00
 7.62565E-04   1.39117E-03   8.24533E-02   7.12663E-01   3.30000E+01   1.15000E+02   2.91547E+01   1.54236E+00
 7.70191E-04   1.42076E-03   8.13300E-02   7.16577E-01   3.30000E+01   1.15000E+02   2.92272E+01   1.56318E+00
 7.77893E-04   1.45082E-03   8.02315E-02   7.20405E-01   3.30000E+01   1.15000E+02   2.93000E+01   1.58406E+00
 7.85672E-04   1.48132E-03   7.91576E-02   7.24148E-01   3.30000E+01   1.15000E+02   2.93729E+01   1.60498E+00
 7.93529E-04   1.51228E-03   7.81075E-02   7.27807E-01   3.30000E+01   1.15000E+02   2.94460E+01   1.62596E+00
 8.01464E-04   1.54371E-03   7.70804E-02   7.31386E-01   3.30000E+01   1.15000E+02   2.95193E+01   1.64699E+00
 8.09478E-04   1.57561E-03   7.60758E-02   7.34887E-01   3.30000E+01   1.15000E+02   2.95928E+01   1.66807E+00
